llm_version,dataset,total_runs,ok_runs,fail_runs,ok_rate_pct,fail_rate_pct,script_rows,list_rows,model_error_rows,text_rows,timeout_runs,timeout_rate_pct,length_mismatch_runs,length_mismatch_rate_pct,code_error_runs,code_error_rate_pct,model_output_issue_runs,model_output_issue_rate_pct,code_issue_runs,code_issue_rate_pct,runtime_infra_issue_runs,runtime_infra_issue_rate_pct
Gemini31Pro,AirPassengers,36.0,29.0,7.0,80.56,19.44,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.56,5.0,13.89,2.0,5.56,0.0,0.0
Gemini31Pro,ETTh1,4.0,1.0,3.0,25.0,75.0,4.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,1.0,25.0,0.0,0.0,1.0,25.0,2.0,50.0
Gemini31Pro,ILINet,36.0,28.0,8.0,77.78,22.22,36.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,1.0,2.78,1.0,2.78,1.0,2.78,6.0,16.67
Gemini31Pro,IceCreamHeater,36.0,29.0,7.0,80.56,19.44,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.44,0.0,0.0,0.0,0.0
Gemini31Pro,Temperature,36.0,9.0,27.0,25.0,75.0,36.0,0.0,0.0,0.0,12.0,33.33,3.0,8.33,9.0,25.0,6.0,16.67,9.0,25.0,12.0,33.33
Grok43,AirPassengers,36.0,33.0,3.0,91.67,8.33,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.56,1.0,2.78,2.0,5.56,0.0,0.0
Grok43,ETTh1,4.0,0.0,4.0,0.0,100.0,2.0,0.0,2.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,2.0,50.0
Grok43,ILINet,36.0,0.0,36.0,0.0,100.0,28.0,3.0,4.0,1.0,5.0,13.89,3.0,8.33,12.0,33.33,19.0,52.78,12.0,33.33,5.0,13.89
Grok43,IceCreamHeater,36.0,30.0,6.0,83.33,16.67,31.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0
Grok43,Temperature,36.0,13.0,23.0,36.11,63.89,36.0,0.0,0.0,0.0,16.0,44.44,0.0,0.0,7.0,19.44,0.0,0.0,7.0,19.44,16.0,44.44
KimiK26,AirPassengers,36.0,29.0,7.0,80.56,19.44,20.0,14.0,2.0,0.0,0.0,0.0,4.0,11.11,1.0,2.78,6.0,16.67,1.0,2.78,0.0,0.0
KimiK26,ETTh1,4.0,0.0,4.0,0.0,100.0,3.0,0.0,1.0,0.0,1.0,25.0,0.0,0.0,2.0,50.0,1.0,25.0,2.0,50.0,1.0,25.0
KimiK26,ILINet,36.0,14.0,22.0,38.89,61.11,36.0,0.0,0.0,0.0,5.0,13.89,0.0,0.0,9.0,25.0,8.0,22.22,9.0,25.0,5.0,13.89
KimiK26,IceCreamHeater,36.0,25.0,11.0,69.44,30.56,9.0,23.0,0.0,4.0,0.0,0.0,4.0,11.11,2.0,5.56,9.0,25.0,2.0,5.56,0.0,0.0
KimiK26,Temperature,36.0,6.0,30.0,16.67,83.33,31.0,3.0,0.0,2.0,16.0,44.44,7.0,19.44,2.0,5.56,12.0,33.33,2.0,5.56,16.0,44.44
